iter	Passed	Remaining
399	53172	79759
400	53283	79593
401	53413	79456
402	53544	79320
403	53669	79175
404	53785	79017
405	53902	78861
406	54033	78726
407	54184	78620
408	54301	78464
409	54434	78332
410	54558	78186
411	54662	78012
412	54814	77907
413	54962	77796
414	55081	77644
415	55181	77466
416	55313	77332
417	55428	77175
418	55547	77024
419	55696	76914
420	55848	76807
421	55988	76685
422	56114	76543
423	56248	76412
424	56407	76315
425	56522	76159
426	56656	76028
427	56781	75885
428	56888	75718
429	57041	75613
430	57211	75529
431	57371	75433
432	57477	75264
433	57597	75116
434	57750	75009
435	57870	74860
436	58001	74725
437	58110	74561
438	58237	74421
439	58374	74294
440	58505	74159
441	58652	74045
442	58801	73933
443	58902	73761
444	59039	73633
445	59152	73476
446	59259	73312
447	59377	73161
448	59465	72974
449	59563	72799
450	59683	72652
451	59814	72518
452	59982	72428
453	60220	72423
454	60370	72311
455	60497	72172
456	60634	72044
457	60745	71886
458	60859	71732
459	61009	71620
460	61120	71461
461	61250	71326
462	61377	71187
463	61503	71047
464	61667	70950
465	61809	70828
466	61921	70672
467	62029	70512
468	62117	70329
469	62240	70186
470	62375	70056
471	62477	69890
472	62575	69719
473	62671	69547
474	62751	69356
475	62840	69176
476	62969	69041
477	63128	68939
478	63262	68809
479	63379	68660
480	63471	68485
481	63608	68358
482	63717	68202
483	63812	68031
484	63914	67868
485	64019	67707
486	64185	67612
487	64352	67517
488	64497	67399
489	64611	67248
490	64725	67097
491	64868	66978
492	64970	66816
493	65127	66710
494	65297	66616
495	65449	66504
496	65593	66385
497	65734	66262
498	65872	66136
499	66003	66003
500	66119	65855
501	66234	65706
502	66436	65643
503	66580	65523
504	66722	65400
505	66841	65256
506	67001	65151
507	67150	65035
508	67259	64880
509	67415	64771
510	67534	64626
511	67656	64485
512	67748	64314
513	67850	64154
514	67966	64007
515	68081	63859
516	68202	63717
517	68348	63598
518	68451	63439
519	68567	63293
520	68695	63157
521	68802	63003
522	68898	62838
523	68994	62674
524	69100	62519
525	69225	62381
526	69341	62236
527	69502	62130
528	69598	61967
529	69741	61845
530	69860	61703
531	69976	61558
532	70081	61403
533	70194	61255
534	70304	61105
535	70402	60945
536	70489	60776
537	70614	60639
538	70701	60470
539	70807	60317
540	70897	60151
541	71008	60003
542	71132	59866
543	71236	59712
544	71380	59593
545	71516	59465
546	71616	59309
547	71739	59172
548	71839	59015
549	71939	58859
550	72055	58716
551	72163	58567
552	72278	58423
553	72383	58272
554	72491	58123
555	72622	57993
556	72720	57837
557	72837	57696
558	72946	57548
559	73049	57396
560	73171	57258
561	73281	57112
562	73400	56973
563	73491	56812
564	73614	56676
565	73716	56524
566	73880	56420
567	73988	56273
568	74115	56139
569	74234	56001
570	74333	55847
571	74441	55700
572	74554	55558
573	74658	55408
574	74769	55264
575	74896	55132
576	74995	54979
577	75099	54830
578	75213	54688
579	75319	54541
580	75450	54412
581	75568	54274
582	75683	54133
583	75781	53981
584	75881	53830
585	75970	53671
586	76107	53547
587	76223	53408
588	76323	53258
589	76413	53101
590	76513	52950
591	76624	52808
592	76726	52660
593	76830	52513
594	76958	52383
595	77050	52229
596	77157	52084
597	77303	51966
598	77404	51818
599	77504	51669
600	77604	51521
601	77705	51373
602	77818	51233
603	77938	51098
604	78044	50954
605	78192	50837
606	78303	50697
607	78417	50558
608	78518	50411
609	78610	50258
610	78726	50122
611	78832	49979
612	78950	49842
613	79060	49702
614	79154	49552
615	79285	49425
616	79418	49298
617	79535	49162
618	79634	49016
619	79731	48867
620	79853	48734
621	79975	48602
622	80088	48464
623	80195	48322
624	80309	48185
625	80451	48065
626	80623	47962
627	80782	47852
628	80938	47739
629	81085	47621
630	81198	47483
631	81305	47342
632	81426	47209
633	81554	47080
634	81705	46964
635	81829	46833
636	81953	46701
637	82111	46589
638	82239	46460
639	82408	46354
640	82535	46225
641	82650	46088
642	82766	45952
643	82891	45822
644	82985	45674
645	83110	45543
646	83239	45414
647	83383	45294
648	83513	45166
649	83657	45046
650	83770	44909
651	83909	44785
652	84028	44652
653	84131	44509
654	84252	44377
655	84355	44234
656	84464	44096
657	84570	43956
658	84696	43826
659	84829	43699
660	84928	43556
661	85053	43426
662	85178	43295
663	85330	43179
664	85457	43049
665	85611	42934
666	85810	42840
667	85973	42729
668	86133	42616
669	86262	42487
670	86408	42367
671	86577	42258
672	86844	42196
673	87032	42095
674	87250	42009
675	87380	41880
676	87607	41798
677	87882	41737
678	88083	41642
679	88310	41557
680	88494	41453
681	88627	41324
682	88768	41199
683	88909	41074
684	89077	40962
685	89220	40838
686	89359	40712
687	89493	40584
688	89647	40464
689	89775	40333
690	89918	40209
691	90064	40086
692	90165	39943
693	90277	39805
694	90408	39675
695	90556	39553
696	90677	39419
697	90803	39287
698	90965	39171
699	91071	39030
700	91185	38893
701	91331	38770
702	91469	38643
703	91632	38527
704	91808	38416
705	92012	38316
706	92137	38184
707	92282	38060
708	92436	37939
709	92583	37815
710	92734	37693
711	92924	37587
712	93081	37467
713	93213	37337
714	93337	37204
715	93457	37069
716	93552	36925
717	93681	36794
718	93824	36668
719	93953	36537
720	94066	36400
721	94184	36264
722	94299	36128
723	94419	35994
724	94520	35852
725	94624	35712
726	94722	35569
727	94842	35435
728	94962	35301
729	95095	35172
730	95199	35032
731	95364	34914
732	95506	34788
733	95649	34663
734	95944	34592
735	96132	34482
736	96296	34363
737	96438	34237
738	96596	34115
739	96742	33990
740	96903	33870
741	97031	33738
742	97175	33612
743	97304	33481
744	97415	33343
745	97504	33198
746	97612	33060
747	97733	32926
748	97834	32785
749	97962	32654
750	98070	32515
751	98222	32392
752	98333	32255
753	98493	32134
754	98607	31998
755	98747	31870
756	98869	31737
757	98988	31603
758	99134	31477
759	99262	31345
760	99375	31210
761	99506	31079
762	99653	30954
763	99784	30823
764	99927	30696
765	100070	30569
766	100201	30439
767	100317	30304
768	100425	30166
769	100543	30032
770	100655	29896
771	100751	29755
772	100865	29620
773	101012	29494
774	101132	29360
775	101253	29227
776	101367	29092
777	101485	28958
778	101598	28823
779	101699	28684
780	101803	28546
781	101892	28404
782	102004	28269
783	102104	28130
784	102222	27997
785	102370	27871
786	102490	27738
787	102638	27613
788	102759	27480
789	102891	27350
790	103021	27220
791	103149	27089
792	103248	26951
793	103346	26812
794	103467	26680
795	103575	26544
796	103678	26407
797	103797	26274
798	103932	26145
799	104028	26007
800	104169	25879
801	104274	25743
802	104373	25605
803	104485	25471
804	104599	25337
805	104693	25199
806	104835	25072
807	104932	24934
808	105041	24799
809	105179	24671
810	105288	24537
811	105391	24401
812	105528	24272
813	105639	24138
814	105768	24008
815	105882	23875
816	105993	23741
817	106112	23609
818	106231	23477
819	106323	23339
820	106415	23201
821	106554	23073
822	106667	22940
823	106806	22813
824	106909	22677
825	107011	22542
826	107127	22409
827	107257	22280
828	107347	22142
829	107468	22011
830	107575	21877
831	107679	21743
832	107787	21609
833	107929	21482
834	108032	21347
835	108161	21218
836	108308	21092
837	108405	20956
838	108514	20823
839	108619	20689
840	108722	20555
841	108842	20424
842	108959	20292
843	109094	20164
844	109192	20029
845	109304	19897
846	109410	19763
847	109541	19634
848	109677	19506
849	109813	19378
850	109910	19243
851	110013	19110
852	110143	18981
853	110256	18849
854	110364	18716
855	110461	18582
856	110552	18446
857	110669	18315
858	110789	18185
859	110929	18058
860	111071	17931
861	111195	17801
862	111292	17667
863	111409	17536
864	111504	17402
865	111633	17273
866	111747	17142
867	111882	17014
868	111990	16882
869	112093	16749
870	112240	16623
871	112356	16492
872	112631	16385
873	112796	16261
874	112922	16131
875	113024	15998
876	113149	15869
877	113275	15739
878	113442	15616
879	113610	15492
880	113735	15362
881	113894	15237
882	114029	15109
883	114227	14989
884	114341	14857
885	114469	14728
886	114581	14597
887	114724	14469
888	114888	14344
889	114981	14211
890	115090	14079
891	115178	13945
892	115295	13814
893	115428	13686
894	115533	13554
895	115669	13425
896	115772	13293
897	115888	13163
898	116022	13034
899	116118	12902
900	116214	12769
901	116342	12640
902	116488	12513
903	116619	12384
904	116758	12256
905	116878	12126
906	117020	11998
907	117163	11871
908	117296	11742
909	117406	11611
910	117515	11480
911	117616	11348
912	117717	11217
913	117887	11092
914	118073	10968
915	118253	10844
916	118400	10716
917	118528	10587
918	118702	10462
919	118833	10333
920	119027	10209
921	119205	10084
922	119324	9954
923	119446	9824
924	119581	9695
925	119702	9565
926	119835	9436
927	120005	9310
928	120138	9181
929	120256	9051
930	120372	8921
931	120493	8791
932	120618	8661
933	120714	8530
934	120866	8402
935	121009	8274
936	121121	8143
937	121250	8014
938	121390	7885
939	121522	7756
940	121659	7627
941	121759	7496
942	121933	7370
943	122035	7239
944	122183	7111
945	122343	6983
946	122481	6854
947	122613	6725
948	122767	6597
949	122918	6469
950	123075	6341
951	123202	6211
952	123333	6082
953	123419	5951
954	123546	5821
955	123703	5693
956	123896	5566
957	124067	5439
958	124214	5310
959	124329	5180
960	124460	5050
961	124643	4923
962	124785	4794
963	124929	4665
964	125041	4535
965	125153	4404
966	125275	4275
967	125398	4145
968	125571	4017
969	125735	3888
970	125918	3760
971	126148	3633
972	126307	3504
973	126431	3374
974	126557	3245
975	126680	3115
976	126799	2985
977	126913	2854
978	127048	2725
979	127178	2595
980	127280	2465
981	127400	2335
982	127560	2206
983	127681	2076
984	127792	1946
985	127896	1815
986	128000	1685
987	128087	1555
988	128193	1425
989	128317	1296
990	128446	1166
991	128563	1036
992	128718	907
993	128845	777
994	128984	648
995	129100	518
996	129200	388
997	129335	259
998	129460	129
999	129616	0
