iter	CrossEntropy
198	0.1495383563
199	0.1494951003
200	0.1494558734
201	0.1494107636
202	0.1493780231
203	0.1493351783
204	0.1492895147
205	0.1492503313
206	0.1492093824
207	0.1490091874
208	0.1489640327
209	0.1489255195
210	0.148730134
211	0.1486812431
212	0.1485589694
213	0.1485252267
214	0.1484815924
215	0.148452077
216	0.1484023921
217	0.1483319603
218	0.1483030136
219	0.1482655837
220	0.1482184557
221	0.1481671034
222	0.1481342844
223	0.1481020867
224	0.148060325
225	0.1478737922
226	0.1478438923
227	0.1478079552
228	0.1477703715
229	0.1476581575
230	0.1476309816
231	0.1476010112
232	0.147345236
233	0.1473057653
234	0.1472693754
235	0.1472348846
236	0.1471953634
237	0.1471634289
238	0.1471359831
239	0.147108528
240	0.1470826585
241	0.1470504892
242	0.1470239394
243	0.1468604974
244	0.1468121165
245	0.146773776
246	0.1465356963
247	0.146502527
248	0.146476379
249	0.1464497555
250	0.1464243372
251	0.1464005418
252	0.1463711636
253	0.1461579299
254	0.1461312514
255	0.1461043494
256	0.146061589
257	0.146038025
258	0.146009831
259	0.1459819765
260	0.1459626221
261	0.1459380518
262	0.1459138894
263	0.1458881555
264	0.1456435013
265	0.1456260243
266	0.1454340456
267	0.1454031296
268	0.145033528
269	0.1450063581
270	0.1448506912
271	0.1448278479
272	0.1448050002
273	0.1447815005
274	0.1447595833
275	0.1447396236
276	0.1446524918
277	0.1446272838
278	0.14460152
279	0.1445801057
280	0.1445529715
281	0.1445323842
282	0.1445127959
283	0.1444863915
284	0.1444605499
285	0.1444321528
286	0.1444106694
287	0.1443916652
288	0.1443707276
289	0.1441919347
290	0.1441664555
291	0.1441414701
292	0.1441205444
293	0.1441020735
294	0.1440805873
295	0.1440647329
296	0.1440441724
297	0.1440141995
298	0.1439930744
299	0.1439688947
300	0.1439267941
301	0.1439048799
302	0.1438867634
303	0.1438630395
304	0.1438152589
305	0.1436920858
306	0.1436656462
307	0.1436458558
308	0.1436268782
309	0.143607641
310	0.143588132
311	0.1435710264
312	0.1435393937
313	0.1435198305
314	0.1434980389
315	0.1434742725
316	0.1434534532
317	0.1431931777
318	0.143173067
319	0.1429980273
320	0.1429795131
321	0.1429568809
322	0.1429410953
323	0.1429226366
324	0.1429070823
325	0.1428873389
326	0.1428635881
327	0.1428483597
328	0.1428259698
329	0.1427942043
330	0.1427737988
331	0.1427358788
332	0.1427164472
333	0.1427028345
334	0.1426843573
335	0.1426693457
336	0.1426431093
337	0.1426146218
338	0.1425966919
339	0.1425787041
340	0.1425466444
341	0.1425270502
342	0.1425054317
343	0.1424904055
344	0.1424028605
345	0.1423830021
346	0.1423654283
347	0.1422330238
348	0.142212156
349	0.1421942313
350	0.1421808041
351	0.1421600648
352	0.1421456601
353	0.1421286242
354	0.1421140207
355	0.1420984982
356	0.1420386834
357	0.1419260153
358	0.1419116409
359	0.1418964441
360	0.1418857422
361	0.1418680717
362	0.1418334142
363	0.1416849199
364	0.1416693538
365	0.1416542272
366	0.1416384815
367	0.1416242775
368	0.1414922906
369	0.1414733528
370	0.1414485396
371	0.1414262734
372	0.1412770494
373	0.141263196
374	0.1412491283
375	0.1412294274
376	0.1412150002
377	0.1412016033
378	0.1411842923
379	0.14116538
380	0.1411470224
381	0.1411295664
382	0.1411101309
383	0.1410944109
384	0.1410770889
385	0.14106339
386	0.1409267642
387	0.1409124621
388	0.140898506
389	0.1407467414
390	0.1407316253
391	0.1407125829
392	0.1406969893
393	0.1406833723
394	0.1406684072
395	0.1406497145
396	0.1406386521
397	0.1406264697
398	0.1406138974
399	0.1404953002
400	0.1404816205
401	0.1404634134
402	0.1403166244
403	0.1403040053
404	0.1402867252
405	0.1402287644
406	0.1402171316
407	0.1401999376
408	0.140186575
409	0.1401721032
410	0.1401259401
411	0.1401123852
412	0.1400968458
413	0.1400863219
414	0.1400637316
415	0.140049332
416	0.1400312221
417	0.1400155356
418	0.1400008745
419	0.1399867734
420	0.1399718525
421	0.1399578776
422	0.1399320684
423	0.1396787448
424	0.1396669718
425	0.1396506936
426	0.1396347175
427	0.1396192019
428	0.1396052763
429	0.1395791595
430	0.1395628187
431	0.1395500311
432	0.1395086489
433	0.1393699749
434	0.1393563049
435	0.1393455885
436	0.1393293791
437	0.1393156136
438	0.1393008924
439	0.1392844714
440	0.1392710509
441	0.139256427
442	0.1392414688
443	0.1392297281
444	0.1392142131
445	0.1391975197
446	0.1391803974
447	0.1391601082
448	0.1391450998
449	0.1391283895
450	0.1389609882
451	0.1389476242
452	0.1389335949
453	0.1389219428
454	0.1389090088
455	0.1388963665
456	0.1387852753
457	0.1386591108
458	0.1386448232
459	0.1386212265
460	0.1386111703
461	0.1385977631
462	0.1385833035
463	0.1385701542
464	0.1385602959
465	0.1385470034
466	0.138533398
467	0.1385190476
468	0.1385030518
469	0.1384934615
470	0.1384777792
471	0.1384599359
472	0.1384458581
473	0.1383634522
474	0.1383519625
475	0.1383412939
476	0.1383180643
477	0.138299759
478	0.1382301093
479	0.138217892
480	0.1382043421
481	0.1381872582
482	0.1381653348
483	0.1381509317
484	0.1381384206
485	0.1381256519
486	0.138113648
487	0.1380045646
488	0.1379915518
489	0.1379769325
490	0.1379669442
491	0.1379515786
492	0.1378552904
493	0.1378446658
494	0.1378333993
495	0.1378222119
496	0.1378012189
497	0.1377790227
498	0.1376768042
499	0.1376665832
500	0.1376564767
501	0.1376430661
502	0.1375641923
503	0.1375464217
504	0.1375329646
505	0.1375196978
506	0.1374987911
507	0.1374875914
508	0.1373830318
509	0.1373698053
510	0.1373569907
511	0.1372748616
512	0.1372607752
513	0.1372455477
514	0.1372229776
515	0.1372113647
516	0.1371984978
517	0.1371820318
518	0.1371669908
519	0.1371582257
520	0.1371488983
521	0.137130584
522	0.1371143804
523	0.1371067457
524	0.1370970987
525	0.1370765408
526	0.13706539
527	0.1370450207
528	0.1369050538
529	0.1368943213
530	0.1368777743
531	0.136867455
532	0.1367645832
533	0.136751019
534	0.1367383864
535	0.1366703842
536	0.1366571808
537	0.1366438282
538	0.1366273929
539	0.1366172628
540	0.1366052312
541	0.1365855227
542	0.1365744578
543	0.1365623516
544	0.1363641114
545	0.1363542129
546	0.1363389496
547	0.1363246385
548	0.1363107248
549	0.1362976902
550	0.1362818141
551	0.1362750639
552	0.1362645317
553	0.1362525186
554	0.1362423511
555	0.136231914
556	0.1362130021
557	0.1361998436
558	0.1361818215
559	0.1361708298
560	0.1361583059
561	0.1361462686
562	0.136135216
563	0.1361183772
564	0.1361048243
565	0.1360931575
566	0.136079157
567	0.1360681847
568	0.1360592942
569	0.136049761
570	0.1360370926
571	0.1360272789
572	0.1360164615
573	0.1360052255
574	0.1359952462
575	0.1359856347
576	0.135976401
577	0.1359650078
578	0.1359498261
579	0.1359398807
580	0.1359246318
581	0.1359006978
582	0.1358900371
583	0.1358741248
584	0.1358626761
585	0.1358493453
586	0.1358418212
587	0.1358346074
588	0.1358213301
589	0.1358077071
590	0.1357933253
591	0.1357811527
592	0.1357709494
593	0.1356841444
594	0.135672842
595	0.1356592993
596	0.135643939
597	0.1356307074
598	0.1356214406
599	0.1356083995
600	0.135596846
601	0.1355842613
602	0.1355655469
603	0.1355550378
604	0.1355459791
605	0.1355311436
606	0.1355226353
607	0.1354265212
608	0.1354113519
609	0.1353924312
610	0.1353812194
611	0.1353686565
612	0.135352317
613	0.1353422929
614	0.1353314936
615	0.1353194501
616	0.1353106286
617	0.1352979584
618	0.1352886545
619	0.1352768715
620	0.1352571771
621	0.1352476295
622	0.1352388636
623	0.1352286337
624	0.1352184445
625	0.1352091011
626	0.1351959454
627	0.1351863456
628	0.1351753481
629	0.1351666342
630	0.1351476571
631	0.1351363193
632	0.1351225287
633	0.1351127685
634	0.1351016751
635	0.1350837164
636	0.1350703366
637	0.1350592257
638	0.1350468061
639	0.1350376918
640	0.1350291045
641	0.1350203752
642	0.1350116755
643	0.135004278
644	0.1349944263
645	0.134985554
646	0.1349765672
647	0.1349655652
648	0.1349539298
649	0.1349405465
650	0.134927095
651	0.1349163811
652	0.134905962
653	0.1348925506
654	0.1348832066
655	0.1348717764
656	0.1348626164
657	0.134852866
658	0.1348422566
659	0.1348331652
660	0.1348203234
661	0.1348078804
662	0.1347975234
663	0.1347886128
664	0.1347792707
665	0.1347681714
666	0.1347540413
667	0.1347444442
668	0.1347357061
669	0.1347201972
670	0.134710006
671	0.1347010506
672	0.1346879571
673	0.1346766003
674	0.1346645461
675	0.13465332
676	0.1346399445
677	0.1346282269
678	0.1346192101
679	0.1346087943
680	0.1345957759
681	0.1345861535
682	0.1345758516
683	0.1345651164
684	0.1345517507
685	0.1345418861
686	0.1344673905
687	0.1344346572
688	0.1344270727
689	0.1344123784
690	0.134404422
691	0.1343957323
692	0.134367944
693	0.1343591635
694	0.1343477145
695	0.1343352765
696	0.1343198095
697	0.1343124322
698	0.1342981856
699	0.1342884627
700	0.1342555426
701	0.1342453668
702	0.1342349387
703	0.1342241897
704	0.1342161471
705	0.1342042996
706	0.1341947204
707	0.1341834271
708	0.1341700234
709	0.1341562847
710	0.1341465761
711	0.1341386117
712	0.1341263715
713	0.1340614254
714	0.1340521116
715	0.1340429907
716	0.1340341144
717	0.1340022971
718	0.1339928024
719	0.1339821573
720	0.133974181
721	0.1339629279
722	0.1339505582
723	0.1339409712
724	0.1339288437
725	0.1339179513
726	0.1339084753
727	0.1339004302
728	0.1338902227
729	0.1338765383
730	0.1338705289
731	0.1338595763
732	0.1338501701
733	0.1338387211
734	0.1338267482
735	0.1338208747
736	0.1338110249
737	0.1338040166
738	0.1337912796
739	0.1337804436
740	0.1337720479
741	0.1337640359
742	0.1337545771
743	0.1337431086
744	0.1337332966
745	0.1337230042
746	0.1337137438
747	0.1337022446
748	0.1336903896
749	0.1336795269
750	0.1336696978
751	0.1336588095
752	0.133649443
753	0.1336411458
754	0.1336308788
755	0.1336221703
756	0.133606096
757	0.1335962468
758	0.1335867313
759	0.1335762414
760	0.1335665302
761	0.1335579875
762	0.1335483963
763	0.1335413062
764	0.1335296328
765	0.1335201513
766	0.1335093652
767	0.1335002304
768	0.133491804
769	0.1334831236
770	0.1334697965
771	0.1334634526
772	0.133453547
773	0.1334454561
774	0.1334320518
775	0.1334194283
776	0.1334100558
777	0.1334004187
778	0.1333921652
779	0.1333814043
780	0.1333720465
781	0.1333498045
782	0.133339258
783	0.1333309596
784	0.1333196381
785	0.1333089141
786	0.1332997357
787	0.1332885597
788	0.1332797728
789	0.1332717724
790	0.1332442229
791	0.1332352473
792	0.1332245168
793	0.1332158442
794	0.1332066967
795	0.133197842
796	0.1331891902
797	0.1331802638
798	0.1331718349
799	0.1331596224
800	0.1331474556
801	0.1331378352
802	0.1331215484
803	0.1331140089
804	0.1331043677
805	0.1330972286
806	0.1330872282
807	0.1330783712
808	0.1330672601
809	0.1330583124
810	0.133051769
811	0.1330398529
812	0.1330332373
813	0.1330248672
814	0.1330153282
815	0.1330058787
816	0.132994101
817	0.1329861438
818	0.1329795509
819	0.1329713288
820	0.1329607262
821	0.1328831159
822	0.1328712008
823	0.1328158915
824	0.1328070685
825	0.1327985275
826	0.1327891799
827	0.1327770255
828	0.1327681714
829	0.1327583374
830	0.1327484916
831	0.1327391545
832	0.1327305476
833	0.1327203544
834	0.1327111076
835	0.1327027839
836	0.1326945729
837	0.1326847724
838	0.1326736522
839	0.132665373
840	0.1326552473
841	0.1326488281
842	0.132640327
843	0.1325759729
844	0.1325663417
845	0.1325550516
846	0.1325446359
847	0.132533082
848	0.1325249242
849	0.1325150251
850	0.1324833421
851	0.1324745306
852	0.1324670643
853	0.1324593911
854	0.1324496999
855	0.1324409079
856	0.1324315944
857	0.1324213197
858	0.1324124079
859	0.132401698
860	0.1323931917
861	0.132381745
862	0.1323741303
863	0.132367038
864	0.1323573775
865	0.1323485589
866	0.1322870128
867	0.1322778052
868	0.1322674067
869	0.1322581722
870	0.1321927835
871	0.1321837357
872	0.1321749683
873	0.1321642695
874	0.1321536485
875	0.1321440922
876	0.1321352339
877	0.1320693995
878	0.1320601672
879	0.1320491703
880	0.1320431463
881	0.1320344867
882	0.132026533
883	0.1320210622
884	0.1320092267
885	0.1319955617
886	0.1319855844
887	0.131976805
888	0.1319690922
889	0.1319576255
890	0.131948079
891	0.1319410207
892	0.1319319128
893	0.1319221463
894	0.1319121614
895	0.1319012525
896	0.1318949137
897	0.1318849686
898	0.1318767405
899	0.1318709612
900	0.1318616607
901	0.1318507776
902	0.1318418056
903	0.1318332503
904	0.1318254951
905	0.1318171598
906	0.1318052629
907	0.1317949455
908	0.1317870844
909	0.131779971
910	0.131769977
911	0.1317627998
912	0.1317523815
913	0.1317423784
914	0.1317348521
915	0.1317276791
916	0.1317198665
917	0.131710752
918	0.1317027555
919	0.131694372
920	0.1316845782
921	0.1316771414
922	0.1316685002
923	0.1316583139
924	0.1316528759
925	0.1316458795
926	0.131638017
927	0.1316271782
928	0.1316211585
929	0.1316129629
930	0.1316040884
931	0.1315939344
932	0.1315877308
933	0.1315811323
934	0.1315708948
935	0.1315660927
936	0.1315564762
937	0.1315485927
938	0.1315390481
939	0.131528354
940	0.1315193112
941	0.1315118821
942	0.1314996154
943	0.1314892869
944	0.1314788579
945	0.1314716586
946	0.1314622404
947	0.1314539318
948	0.1314435531
949	0.1314343636
950	0.1314273063
951	0.1314169846
952	0.1314083455
953	0.1313989807
954	0.131392525
955	0.1313845448
956	0.1313765414
957	0.1313683016
958	0.1313593884
959	0.1313537653
960	0.1313467047
961	0.1313375382
962	0.131328186
963	0.1313219726
964	0.1313120358
965	0.1313033871
966	0.1312937489
967	0.1312876909
968	0.1312783159
969	0.1312684517
970	0.1312608989
971	0.1312539322
972	0.1312445696
973	0.1312181847
974	0.1312088049
975	0.1312004741
976	0.1311900977
977	0.131180671
978	0.1311724918
979	0.131091091
980	0.1310849692
981	0.1310773497
982	0.1310674468
983	0.1310595915
984	0.1310547789
985	0.1310440018
986	0.1310370136
987	0.1310298091
988	0.1310218561
989	0.1310150476
990	0.1310072723
991	0.1309949797
992	0.1309847567
993	0.1309729561
994	0.1309642791
995	0.1309566285
996	0.1309463104
997	0.1309425095
998	0.130931518
999	0.130922751
